energy,photons
6.5,0.011291394
7.0,0.3651924553
7.5,5.2959836448
8.0,77.142613716
8.5,882.1433019
9.0,969.77858125
9.5,5133.54110346
10.0,14286.87786042
10.5,7460.9339244
11.0,10534.7424168
11.5,19621.27954236
12.0,18175.7497812
12.5,20457.95592672
13.0,25150.59797616
13.5,31561.65428444
14.0,38755.5513408
14.5,45976.8480672
15.0,52050.606426
15.5,58344.02535
16.0,64470.9512268
16.5,68855.03955
17.0,74178.397755
17.5,77859.1447101
18.0,82102.7275824
18.5,84098.6828864
19.0,85227.665677
19.5,87215.832
20.0,88110.756426
20.5,87007.8547962
21.0,87214.8929022
21.5,84975.7545848
22.0,83560.781749
22.5,81016.11399
23.0,78707.37591837
23.5,76974.67839312
24.0,73705.13396367
24.5,70974.39634451
25.0,68000.3821728
25.5,64797.36412864
26.0,60011.429908
26.5,54245.83675392
27.0,49899.01720896
27.5,46352.10152331
28.0,41557.44667075
28.5,36743.73427579
29.0,31127.00558
29.5,26692.00194232
30.0,23369.5064412
30.5,17230.6351789
31.0,12089.6326089
31.5,5830.915894727
32.0,1882.83431304
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
35.5,0
36.0,0
36.5,0
37.0,0
37.5,0
38.0,0
38.5,0
39.0,0
39.5,0
40.0,0
40.5,0
