energy,delta,beta,atlen
2,0.000426937780842,9.90928646727e-05,4.97833452329e-05
3,0.000288546370205,0.000128245749435,2.56443810098e-05
4,0.000184014433014,5.27864289935e-05,4.67276759025e-05
5,0.000121642430363,2.44134038617e-05,8.08273081472e-05
6,8.4961752516e-05,1.29182886245e-05,0.000127291739526
7,6.22253731047e-05,7.55205112903e-06,0.000186635173027
8,4.7379205416e-05,4.76256981967e-06,0.000258955484062
9,3.72092459918e-05,3.18016271543e-06,0.000344718510309
10,2.97720055035e-05,2.17739689808e-06,0.00045312586754
11,2.41966662659e-05,1.54398722567e-06,0.00058092500085
12,1.88570770806e-05,2.89328173095e-06,0.000284174094268
13,1.73699681308e-05,2.14718394142e-06,0.000353462913193
14,1.47881081818e-05,2.27175732098e-06,0.000310217635519
15,1.33148447606e-05,2.04884856505e-06,0.000321037183276
16,1.20157354727e-05,1.6300254969e-06,0.000378304994424
17,1.07911860616e-05,1.31386290585e-06,0.000441730597269
18,9.7049474562e-06,1.07184053138e-06,0.000511391817025
19,8.75334112163e-06,8.83696619466e-07,0.000587624183453
20,7.92479888528e-06,7.35638566504e-07,0.000670597562002
21,7.20002851934e-06,6.18127082266e-07,0.000760080146201
22,6.56610527526e-06,5.23769139688e-07,0.000856236758164
23,6.01218170019e-06,4.47208239485e-07,0.000959221319513
24,5.52714336984e-06,3.844405966e-07,0.00106934039046
25,5.09641435749e-06,3.32537165653e-07,0.00118679649715
26,4.71442426486e-06,2.89290902157e-07,0.0013117417199
27,4.3726600803e-06,2.52356966864e-07,0.00144802944209
28,4.06674999748e-06,2.21037355727e-07,0.00159416308223
29,3.79112324559e-06,1.9416749936e-07,0.00175219291498
30,3.54240418198e-06,1.71290710795e-07,0.00192000070883
31,3.31701593143e-06,1.51763486096e-07,0.00209714021045
32,3.11213243908e-06,1.34980525445e-07,0.0022842064975
33,2.92555653639e-06,1.20545722455e-07,0.00248022289004
34,2.75490005755e-06,1.08023499162e-07,0.00268632959787
35,2.59864737391e-06,9.71481950915e-08,0.00290170778335
36,2.45516460399e-06,8.76436886883e-08,0.00312703906639
37,2.32322677857e-06,7.93059257645e-08,0.00336239779403
38,2.20149640259e-06,7.19769685119e-08,0.00360727546026
39,2.08898690837e-06,6.5490063057e-08,0.00386292645362
40,1.98479768098e-06,5.97544416985e-08,0.00412787246596
41,1.88825443991e-06,5.46499490645e-08,0.0044033462522
42,1.79846789946e-06,5.00916888263e-08,0.00468966143952
43,1.7150067075e-06,4.6028332087e-08,0.00498497244354
44,1.63718658603e-06,4.23769293695e-08,0.00529144509601
45,1.56450272574e-06,3.90912335648e-08,0.00560873041772
46,1.49655362054e-06,3.61364422243e-08,0.00593544426583
47,1.43290947365e-06,3.34615096521e-08,0.00627354570925
48,1.37321475525e-06,3.10363866881e-08,0.00662283695921
49,1.31716521204e-06,2.88426182972e-08,0.00698112947532
50,1.26445477893e-06,2.68436406369e-08,0.00735097650703
51,1.21482270876e-06,2.50187656435e-08,0.00773250839527
52,1.16806322586e-06,2.334745413e-08,0.00812668789142
53,1.12391995507e-06,2.18159989301e-08,0.0085330734134
54,1.08220862133e-06,2.041086667e-08,0.00895161199775
55,1.04283885313e-06,1.91217255947e-08,0.0093813790596
56,1.00552022974e-06,1.79401377543e-08,0.00982070475488
57,9.70141760944e-07,1.68505771241e-08,0.0102722793134
58,9.36567865634e-07,1.58444454975e-08,0.0107362203604
59,9.04918120813e-07,1.49141044867e-08,0.0112126240861
60,8.74675099985e-07,1.40527002118e-08,0.011701604716
61,8.45880665619e-07,1.32540762786e-08,0.012203296255
62,8.18437038905e-07,1.25127377972e-08,0.0127178126134
63,7.92965179272e-07,1.18214009263e-08,0.0132478974922
64,7.68098100451e-07,1.11757914442e-08,0.0137942531765
65,7.44298774928e-07,1.05746449716e-08,0.0143541441463
66,7.2149337291e-07,1.00142843694e-08,0.014927689743
67,6.98187193684e-07,9.49193057979e-09,0.0155141183193
68,6.77939264444e-07,9.00672421194e-09,0.0161094486873
69,6.58589576833e-07,8.55286968678e-09,0.0167184307055
70,6.39996114041e-07,8.12792991808e-09,0.0173411727633
71,6.22030610219e-07,7.72968834533e-09,0.0179777825325
