energy,photons
0,0
1,0
2,0
3,0
4,0.0742861225
5,23426.721384
6,12847122.536
7,396928309.92
8,8892095152
9,51376122968
10,20039796736
11,63140591760
12,27346846224
13,35304423792
14,41718972600
15,46342479872
16,49260947816
17,50718413040
18,51001918880
19,50381108016
20,49083572480
21,47289988896
22,45138263368
23,42730932664
24,40142869096
25,37428113680
26,34625472016
27,31762861640
28,28860562696
29,25933686872
30,22993875848
31,20050617312
32,17112111056
33,14185887616
34,11279263816
35,8399590224
36,5554452491.2
37,2751802391.2
